C,S,Question,Book
FALSE,IWB,does it begin with a poem by E.B. White?,This Very Tree
FALSE,IWB,does the main character let everyone know spring was coming?,This Very Tree
FALSE,IWB,"was it an ordinary morning, until it wasn't?",This Very Tree
FALSE,IWB,was it weeks before the recovery workers found the main character?,This Very Tree
FALSE,IWB,was the main character one of the first to blossom?,This Very Tree
FALSE,IWB,was there a plaza in a city?,This Very Tree
FALSE,IWB,did the main character like the sounds and smells of the city?,This Very Tree
FALSE,IWB,did the main character heal in a faraway park?,This Very Tree
FALSE,IWB,did the main character feel better when surrounded by trees?,This Very Tree
FALSE,IWB,would two spaces stay empty forever?,This Very Tree
FALSE,IWB,did the main character's new job include helping people find peace and hope?,This Very Tree
FALSE,IWB,does it tell a story of resilience and regrowth?,This Very Tree
FALSE,IWB,"was the setting a place where 50,000 people worked and 40,000 people visited each day?",This Very Tree
FALSE,IWB,did the main character return home nine years after a traumatic event?,This Very Tree
FALSE,IWB,are seedlings send all over the world to communities suffereing from recent tragedies?,This Very Tree
FALSE,IWB,was the author in 10th grade when an attach happened?,This Very Tree
FALSE,IWB,did the main character remember what had happened when a shadow passed overhead?,This Very Tree
FALSE,IWB,did the main character know it was time to go home when they felt strong enough to do their old job again?,This Very Tree
FALSE,IWB,"did the machine noise scare the main character, but leaving was even scarier?",This Very Tree
FALSE,IWB,did one shining spire and many towers surround a new plaza?,This Very Tree
FALSE,IWB,were sewers created to carry rainwater to rivers so the city won't flood?,The Great Stink
FALSE,IWB,"do men sell ""night soil"" to farmers to make compost?",The Great Stink
FALSE,IWB,does a cholera epidemic occur four times?,The Great Stink
FALSE,IWB,"does the government think miasmas, or smelly air, kills people?",The Great Stink
FALSE,IWB,does an engineer discover a higgledy-piggledy mess when he maps what is underground?,The Great Stink
FALSE,IWB,does a heat wave result in the government approving the main character's plan?,The Great Stink
FALSE,IWB,do workers meet in the middle while digging tunnels beneath a city?,The Great Stink
FALSE,IWB,are man-made riverbanks called embankments built?,The Great Stink
FALSE,IWB,does the prince visit the grand opening of an elegant building with a not-so-elegant purpose?,The Great Stink
FALSE,IWB,is a room with vaulted ceilings lit with hundreds of colored oil lamps?,The Great Stink
FALSE,IWB,is the main character knighted for his contribution to his country?,The Great Stink
FALSE,IWB,are rain gardens planted to reduce pollution?,The Great Stink
FALSE,IWB,does the roots of one mature tree keep up to 4600 gallons of water out of the sewer each year?,The Great Stink
FALSE,IWB,"do 37,000 people die when disease outbreaks in the city?",The Great Stink
FALSE,IWB,does the instillation of flush toilets increase the river pollution?,The Great Stink
FALSE,IWB,does the effort to remove smelly items lead to increased contamination?,The Great Stink
FALSE,IWB,does the author use lists of adjectives to grab the reader's attention?,The Great Stink
FALSE,IWB,do millions of people in the US still get sick from raw sewage each year?,The Great Stink
FALSE,IWB,is the main character in 3rd grade?,Clementine
FALSE,IWB,does a character warn readers not to answer the phone in the principal's office?,Clementine
FALSE,IWB,does a girl cut her hair after getting glue stuck in it?,Clementine
FALSE,IWB,do they serve hamburger surprise for lunch?,Clementine
FALSE,IWB,does the neighbor have a cat named Mascara?,Clementine
FALSE,IWB,does a character have hair that makes them look like a dandelion?,Clementine
FALSE,IWB,does the main character ride an elevator to help themselves calm down when they're mad?,Clementine
FALSE,IWB,"does the ""great pigeon war"" take place?",Clementine
FALSE,IWB,are a third grader and a fourth grader best friends?,Clementine
FALSE,IWB,does a student see the janitor kissing the lunch lady?,Clementine
FALSE,IWB,was a lady in the park eating lentils with a toothbrush?,Clementine
FALSE,IWB,does a child refuse to eat the clear parts of eggs?,Clementine
FALSE,IWB,does a girl mix grape jelly into her milk?,Clementine
FALSE,IWB,does a sister call her brother vegetable names?,Clementine
FALSE,IWB,does the main character get all the best pet names from labels in the bathroom?,Clementine
FALSE,IWB,"is the area under the main character's bed called ""The Black Hole""?",Clementine
FALSE,IWB,does a girl glue pepperoni on a hat because the hat is for her friend and pepperoni is one of her favorite foods?,Clementine
FALSE,IWB,does a family live in a basement?,Clementine
FALSE,IWB,does a girl tell the secret about a surprise party for her neighbor?,Clementine
FALSE,IWB,is a girl afraid of pointy things and boomerangs?,Clementine
FALSE,IWB,is chocolate frosting mistaken for facial hair?,Clementine
